,PP spectrum,
Raman shift [1/cm],Counts/sec,
2683.868,428.46094,
2682.904,432.91199,
2681.940,435.92188,
2680.975,435.79895,
2680.011,432.05106,
2679.047,425.73386,
2678.083,424.67136,
2677.118,435.78436,
2676.154,441.55365,
2675.190,431.52448,
2674.226,422.39218,
2673.261,420.37552,
2672.297,420.34323,
2671.333,422.29062,
2670.369,422.18124,
2669.405,411.14636,
2668.440,398.86926,
2667.476,401.02655,
2666.512,406.10886,
2665.548,404.49426,
2664.583,408.07187,
2663.619,424.29376,
2662.655,438.28229,
2661.691,437.75311,
2660.726,430.86459,
2659.762,426.74478,
2658.798,428.17917,
2657.834,436.44531,
2656.869,443.92813,
2655.905,440.57605,
2654.941,436.65417,
2653.977,449.375,
2653.013,471.07813,
2652.048,477.01822,
2651.084,472.56561,
2650.120,461.35312,
2649.156,448.95676,
2648.191,445.59167,
2647.227,448.66876,
2646.263,447.80106,
2645.299,440.2052,
2644.334,426.48386,
2643.370,407.23801,
2642.406,387.24374,
2641.442,368.20782,
2640.478,355.91614,
2639.513,347.56406,
2638.549,336.02866,
2637.585,321.32239,
2636.621,309.46979,
2635.656,303.91251,
2634.692,295.28751,
2633.728,279.98749,
2632.764,269.91043,
2631.799,270.56458,
2630.835,273.60782,
2629.871,272.68646,
2628.907,266.99478,
2627.942,261.37082,
2626.978,254.31667,
2626.014,239.66927,
2625.050,226.50626,
2624.086,224.18698,
2623.121,227.94531,
2622.157,231.33958,
2621.193,233.84947,
2620.229,233.70729,
2619.264,234.43489,
2618.300,240.72188,
2617.336,248.41562,
2616.372,253.96771,
2615.407,254.66875,
2614.443,247.2599,
2613.479,240.28073,
2612.515,244.41562,
2611.551,254.76772,
2610.586,256.32187,
2609.622,247.38594,
2608.658,241.34166,
2607.694,242.63594,
2606.729,242.64688,
2605.765,238.30573,
2604.801,239.83229,
2603.837,247.47708,
2602.872,246.63853,
2601.908,237.42291,
2600.944,229.60104,
2599.980,225.70625,
2599.015,223.15781,
2598.051,221.58646,
2597.087,219.07603,
2596.123,212.39479,
2595.159,205.69896,
2594.194,202.28593,
2593.230,201.34219,
2592.266,204.99219,
2591.302,206.84323,
2590.337,203.46458,
2589.373,198.49532,
2588.409,191.66093,
2587.445,184.92343,
2586.480,183.18489,
2585.516,186.65157,
2584.552,194.2099,
2583.588,202.41406,
2582.624,197.9099,
2581.659,184.84843,
2580.695,183.4276,
2579.731,188.59271,
2578.767,189.83022,
2577.802,187.25626,
2576.838,179.25781,
2575.874,167.9151,
2574.910,161.78125,
2573.945,163.0276,
2572.981,162.14948,
2572.017,156.22656,
2571.053,153.98958,
2570.088,157.41875,
2569.124,160.78697,
2568.160,164.02448,
2567.196,162.91823,
2566.232,154.62187,
2565.267,141.875,
2564.303,124.50677,
2563.339,109.8,
2562.375,109.19167,
2561.410,117.63854,
2560.446,123.71407,
2559.482,127.71198,
2558.518,121.49948,
2557.553,109.11146,
2556.589,106.46927,
2555.625,109.70625,
2554.661,113.93282,
2553.697,117.32656,
2552.732,116.80469,
2551.768,113.50105,
2550.804,109.70364,
2549.840,106.70937,
2548.875,105.50105,
2547.911,104.68073,
2546.947,102.20313,
2545.983,97.673439,
2545.018,97.517189,
2544.054,105.775,
2543.090,111.05782,
2542.126,110.52865,
2541.161,105.62656,
2540.197,94.64167,
2539.233,84.582291,
2538.269,84.480728,
2537.305,92.188545,
2536.340,103.63281,
2535.376,109.81198,
2534.412,91.905205,
2533.448,73.047394,
2532.483,87.844795,
2531.519,106.30573,
2530.555,98.918228,
2529.591,82.740105,
2528.626,77.590103,
2527.662,81.377083,
2526.698,78.882294,
2525.734,70.310417,
2524.770,72.591667,
2523.805,84.438545,
2522.841,88.186981,
2521.877,85.085419,
2520.913,79.947914,
2519.948,73.378647,
2518.984,74.82917,
2518.020,81.086983,
2517.056,76.904167,
2516.091,60.520832,
2515.127,52.352604,
2514.163,66.199478,
2513.199,81.395836,
2512.234,76.51667,
2511.270,66.964066,
2510.306,70.816147,
2509.342,71.528122,
2508.378,52.808853,
2507.413,35.947395,
2506.449,40.389061,
2505.485,50.985939,
2504.521,53.722916,
2503.556,51.831249,
2502.592,54.528126,
2501.628,61.048439,
2500.664,62.660416,
2499.699,56.861458,
2498.735,46.045311,
2497.771,32.703648,
2496.807,26.40625,
2495.842,27.26198,
2494.878,31.495312,
2493.914,38.74271,
2492.950,42.85677,
2491.986,42.038021,
2491.021,36.695835,
2490.057,27.314062,
2489.093,21.732813,
2488.129,28.523958,
2487.164,36.80677,
2486.200,35.679688,
2485.236,32.547916,
2484.272,30.768749,
2483.307,29.100521,
2482.343,23.529688,
2481.379,15.831771,
2480.415,16.981251,
2479.451,22.585938,
2478.486,19.695833,
2477.522,8.932292,
2476.558,1.4401041,
2475.594,0.55364585,
2474.629,2.8270833,
2473.665,8.0135412,
2472.701,15.085938,
2471.737,21.057812,
2470.772,21.041145,
2469.808,16.528646,
2468.844,13.211458,
2467.880,11.330209,
2466.915,9.9885416,
2465.951,10.527083,
2464.987,13.45625,
2464.023,16.70677,
2463.059,17.861979,
2462.094,13.31875,
2461.130,6.6203127,
2460.166,4.4854169,
2459.202,3.1229167,
2458.237,5.5588541,
2457.273,9.708333,
2456.309,8.083333,
2455.345,2.7265625,
2454.380,-2.7807291,
2453.416,-7.2276044,
2452.452,-9.9609375,
2451.488,-10.628125,
2450.524,-11.165625,
2449.559,-11.883854,
2448.595,-5.8270831,
2447.631,9.7390623,
2446.667,21.317709,
2445.702,22.096874,
2444.738,17.434896,
2443.774,10.751041,
2442.810,8.6708336,
2441.845,14.352083,
2440.881,20.298437,
2439.917,19.866667,
2438.953,17.15052,
2437.988,15.057813,
2437.024,11.672396,
2436.060,7.2125001,
2435.096,2.7093749,
2434.132,8.9052086,
2433.167,23.114584,
2432.203,25.847395,
2431.239,18.182291,
2430.275,12.8,
2429.310,12.729167,
2428.346,14.585938,
2427.382,16.669271,
2426.418,16.186459,
2425.453,12.308854,
2424.489,7.7354169,
2423.525,2.2093749,
2422.561,0.34687501,
2421.597,8.53125,
2420.632,16.166666,
2419.668,16.518749,
2418.704,14.977604,
2417.740,16.526562,
2416.775,21.5375,
2415.811,25.134895,
2414.847,24.022917,
2413.883,21.640104,
2412.918,20.921354,
2411.954,19.93125,
2410.990,18.460417,
2410.026,17.320833,
2409.061,15.668229,
2408.097,12.646354,
2407.133,7.21875,
2406.169,3.1114583,
2405.205,4.3078127,
2404.240,5.3406248,
2403.276,-0.26718751,
2402.312,-4.1328125,
2401.348,6.0932293,
2400.383,21.950001,
2399.419,25.236458,
2398.455,18.341146,
2397.491,6.377604,
2396.526,-7.8156252,
2395.562,-15.896354,
2394.598,-18.934376,
2393.634,-13.55625,
2392.670,-2.8953125,
2391.705,0.76770836,
2390.741,-5.5979166,
2389.777,-8.75,
2388.813,-1.9145833,
2387.848,4.4598956,
2386.884,2.2203126,
2385.920,-1.2270833,
2384.956,0.11614583,
2383.991,2.8942709,
2383.027,4.4072919,
2382.063,2.3286459,
2381.099,-0.49427083,
2380.134,-0.030208332,
2379.170,3.4984374,
2378.206,6.9593749,
2377.242,6.3562498,
2376.278,1.6536459,
2375.313,-1.4239583,
2374.349,-0.51875001,
2373.385,1.9322916,
2372.421,2.8343749,
2371.456,-2.40625,
2370.492,-12.114062,
2369.528,-18.077604,
2368.564,-17.67552,
2367.599,-12.538021,
2366.635,-2.8645833,
2365.671,7.6151042,
2364.707,8.5739584,
2363.743,0.234375,
2362.778,-4.1114583,
2361.814,-2.8015625,
2360.850,-5.8692708,
2359.886,-11.747916,
2358.921,-10.816667,
2357.957,-8.2036457,
2356.993,-10.834896,
2356.029,-14.891666,
2355.064,-13.548959,
2354.100,-8.0031252,
2353.136,-6.455729,
2352.172,-9.0291662,
2351.207,-8.567708,
2350.243,-9.9869795,
2349.279,-12.803646,
2348.315,-1.9526042,
2347.351,11.332292,
2346.386,11.444792,
2345.422,9.1015625,
2344.458,2.15625,
2343.494,-8.3036461,
2342.529,-9.2817707,
2341.565,1.1182292,
2340.601,8.2989588,
2339.637,3.8453126,
2338.672,-0.89010417,
2337.708,3.0322917,
2336.744,6.6937499,
2335.780,1.4677083,
2334.816,-7.25,
2333.851,-11.760938,
2332.887,-12.684375,
2331.923,-10.982291,
2330.959,-6.1869793,
2329.994,2.5140624,
2329.030,12.092709,
2328.066,18.08802,
2327.102,20.557291,
2326.137,21.049999,
2325.173,18.766666,
2324.209,14.839583,
2323.245,10.925521,
2322.280,10.665625,
2321.316,15.745833,
2320.352,17.561979,
2319.388,10.694271,
2318.424,4.1385417,
2317.459,5.3656249,
2316.495,6.8083334,
2315.531,1.3072916,
2314.567,-4.4968748,
2313.602,-6.6046877,
2312.638,-9.067708,
2311.674,-5.377604,
2310.710,4.9026041,
2309.745,7.0203123,
2308.781,8.4177084,
2307.817,17.347395,
2306.853,22.664583,
2305.889,21.292187,
2304.924,19.35573,
2303.960,17.794271,
2302.996,14.826041,
2302.032,11.970312,
2301.067,9.2119789,
2300.103,2.8822916,
2299.139,-2.3567708,
2298.175,-0.26979166,
2297.210,1.0614583,
2296.246,-1.0526042,
2295.282,1.9854167,
2294.318,6.5989585,
2293.353,6.0052085,
2292.389,2.4734375,
2291.425,-0.096354164,
2290.461,-0.9609375,
2289.497,-0.38854167,
2288.532,1.0822917,
2287.568,0.69270831,
2286.604,-4.4875002,
2285.640,-13.295834,
2284.675,-22.33177,
2283.711,-29.153646,
2282.747,-22.635937,
2281.783,-8.4354162,
2280.818,-1.6916667,
2279.854,-3.5161459,
2278.890,-7.2296877,
2277.926,-9.5765629,
2276.962,-12.842188,
2275.997,-19.319792,
2275.033,-25.744791,
2274.069,-25.004688,
2273.105,-20.596874,
2272.140,-21.165104,
2271.176,-24.627604,
2270.212,-23.909374,
2269.248,-19.827604,
2268.283,-14.426042,
2267.319,-9.2588539,
2266.355,-9.109375,
2265.391,-15.067187,
2264.426,-20.250521,
2263.462,-19.143229,
2262.498,-15.548959,
2261.534,-13.33125,
2260.570,-12.4125,
2259.605,-16.19323,
2258.641,-21.308332,
2257.677,-17.385937,
2256.713,-8.7515621,
2255.748,-3.0958333,
2254.784,0.99583334,
2253.820,6.6177082,
2252.856,11.827604,
2251.891,12.594791,
2250.927,9.1000004,
2249.963,5.9770832,
2248.999,5.2406249,
2248.035,4.0734377,
2247.070,1.66875,
2246.106,-3.4302084,
2245.142,-16.452084,
2244.178,-29.923958,
2243.213,-32.107811,
2242.249,-25.097395,
2241.285,-13.934375,
2240.321,-5.4718752,
2239.356,-8.1994791,
2238.392,-20.483854,
2237.428,-31.546354,
2236.464,-37.4375,
2235.499,-35.981251,
2234.535,-24.140104,
2233.571,-12.054688,
2232.607,-6.7598958,
2231.643,-5.4635415,
2230.678,-9.0354166,
