,HDPE spectra,
Raman shift [1/cm],Counts/sec,
2533.873,21.908452,
2532.909,19.46128,
2531.945,18.940542,
2530.981,20.407986,
2530.016,21.56215,
2529.052,22.104864,
2528.088,22.303846,
2527.124,21.641752,
2526.159,21.295568,
2525.195,21.98973,
2524.231,22.378988,
2523.267,22.252464,
2522.302,23.053592,
2521.338,24.929012,
2520.374,26.459934,
2519.410,26.950986,
2518.446,26.920868,
2517.481,26.779094,
2516.517,26.686016,
2515.553,26.894982,
2514.589,26.834968,
2513.624,25.525467,
2512.660,23.86153,
2511.696,24.57725,
2510.732,26.084286,
2509.767,24.986084,
2508.803,22.46215,
2507.839,21.852034,
2506.875,23.070142,
2505.911,23.345881,
2504.946,22.223666,
2503.982,22.424978,
2503.018,24.874472,
2502.054,26.130609,
2501.089,24.512183,
2500.125,23.277304,
2499.161,23.71198,
2498.197,23.624988,
2497.232,22.222706,
2496.268,20.725575,
2495.304,20.061006,
2494.340,20.127262,
2493.375,20.57717,
2492.411,21.318614,
2491.447,22.219966,
2490.483,23.047176,
2489.519,23.438926,
2488.554,23.360052,
2487.590,22.822094,
2486.626,22.17498,
2485.662,22.11223,
2484.697,22.40319,
2483.733,22.88185,
2482.769,23.682163,
2481.805,24.632612,
2480.840,25.566332,
2479.876,26.913394,
2478.912,28.502032,
2477.948,29.451306,
2476.984,30.041142,
2476.019,30.181918,
2475.055,29.006122,
2474.091,28.02406,
2473.127,28.182645,
2472.162,28.928459,
2471.198,30.248682,
2470.234,31.115685,
2469.270,29.818311,
2468.305,27.497021,
2467.341,27.527988,
2466.377,29.336998,
2465.413,29.324319,
2464.448,28.170161,
2463.484,28.138273,
2462.520,28.106947,
2461.556,28.075621,
2460.592,28.044294,
2459.627,28.013,
2458.663,27.981675,
2457.699,27.950348,
2456.735,27.919022,
2455.770,27.887728,
2454.806,27.856402,
2453.842,27.825075,
2452.878,27.79375,
2451.913,27.762456,
2450.949,27.731129,
2449.985,27.699803,
2449.021,27.668477,
2448.057,27.637151,
2447.092,27.605857,
2446.128,27.574531,
2445.164,27.543205,
2444.200,27.511878,
2443.235,27.480584,
2442.271,27.449259,
2441.307,27.417932,
2440.343,27.386606,
2439.378,27.355312,
2438.414,27.323986,
2437.450,27.292659,
2436.486,27.261334,
2435.521,27.23004,
2434.557,27.198713,
2433.593,27.167387,
2432.629,27.136061,
2431.665,27.104734,
2430.700,27.073441,
2429.736,27.042115,
2428.772,27.010788,
2427.808,26.979462,
2426.843,26.948168,
2425.879,26.916842,
2424.915,26.885516,
2423.951,26.85419,
2422.986,26.822895,
2422.022,26.79157,
2421.058,26.760243,
2420.094,26.728918,
2419.130,26.697591,
2418.165,26.666297,
2417.201,26.634971,
2416.237,26.603645,
2415.273,26.572318,
2414.308,26.541025,
2413.344,26.509699,
2412.380,26.478372,
2411.416,26.447046,
2410.451,26.415752,
2409.487,26.384426,
2408.523,26.3531,
2407.559,26.321774,
2406.594,26.290479,
2405.630,26.259154,
2404.666,26.227827,
2403.702,26.196501,
2402.738,26.165175,
2401.773,26.133881,
2400.809,26.102554,
2399.845,26.071229,
2398.881,26.039902,
2397.916,26.008608,
2396.952,25.977283,
2395.988,25.945956,
2395.024,25.914629,
2394.059,25.883336,
2393.095,22.98026,
2392.131,20.09687,
2391.167,17.50128,
2390.203,16.15561,
2389.238,15.773218,
2388.274,15.690008,
2387.310,15.51088,
2386.346,15.206707,
2385.381,14.874236,
2384.417,14.197152,
2383.453,13.413935,
2382.489,13.163284,
2381.524,13.544935,
2380.560,13.702942,
2379.596,13.06187,
2378.632,11.993034,
2377.667,10.397845,
2376.703,8.6724631,
2375.739,7.921212,
2374.775,7.8402216,
2373.811,8.1000549,
2372.846,8.3676293,
2371.882,8.0119546,
2370.918,7.3797202,
2369.954,7.1383934,
2368.989,7.3758957,
2368.025,7.9730261,
2367.061,8.6662083,
2366.097,8.7087798,
2365.132,7.9408931,
2364.168,7.49739,
2363.204,7.735708,
2362.240,7.879107,
2361.276,7.8921578,
2360.311,7.8510233,
2359.347,7.693213,
2358.383,7.3845047,
2357.419,6.8988575,
2356.454,6.8509338,
2355.490,8.0994256,
2354.526,9.4191733,
2353.562,8.182569,
2352.597,5.8717889,
2351.633,5.7357482,
2350.669,6.435132,
2349.705,6.6876041,
2348.740,7.021517,
2347.776,7.3512368,
2346.812,7.5475978,
2345.848,6.7980835,
2344.884,5.0732945,
2343.919,3.6061282,
2342.955,3.086277,
2341.991,2.5000243,
2341.027,1.0838112,
2340.062,0.00092605879,
2339.098,0.78118679,
2338.134,2.5827865,
2337.170,4.5322993,
2336.205,6.5815355,
2335.241,7.8943443,
2334.277,8.3167606,
2333.313,7.6672976,
2332.349,6.3785919,
2331.384,5.690686,
2330.420,6.198361,
2329.456,7.3428092,
2328.492,8.5928269,
2327.527,9.520052,
2326.563,10.006896,
2325.599,11.301825,
2324.635,14.35972,
2323.670,16.63964,
2322.706,15.983232,
2321.742,14.02475,
2320.778,12.129767,
2319.813,10.129677,
2318.849,7.7723539,
2317.885,5.7985106,
2316.921,5.7330092,
2315.957,7.213937,
2314.992,8.1865898,
2314.028,8.3812722,
2313.064,7.1998355,
2312.100,4.6675149,
2311.135,4.4433715,
2310.171,7.0710626,
2309.207,8.0915908,
2308.243,5.5912833,
2307.278,3.824381,
2306.314,6.3553413,
2305.350,10.077036,
2304.386,10.619416,
2303.422,9.5597841,
2302.457,9.8343474,
2301.493,10.753934,
2300.529,10.506514,
2299.565,9.3283457,
2298.600,9.267842,
2297.636,10.167812,
2296.672,11.125262,
2295.708,12.074343,
2294.743,12.525551,
2293.779,12.105146,
2292.815,11.378906,
2291.851,10.699777,
2290.886,10.341131,
2289.922,12.071162,
2288.958,14.582,
2287.994,14.2994,
2287.030,13.05989,
2286.065,12.94607,
2285.101,12.828016,
2284.137,13.711538,
2283.173,15.260536,
2282.208,14.702424,
2281.244,11.986748,
2280.280,10.659376,
2279.316,12.460831,
2278.351,15.102001,
2277.387,17.11517,
2276.423,18.314858,
2275.459,16.315252,
2274.494,13.171082,
2273.530,14.045518,
2272.566,16.30885,
2271.602,17.051996,
2270.638,17.040696,
2269.673,16.704232,
2268.709,16.189104,
2267.745,16.507484,
